day,date,pccpue
-10,2016-05-21,0.03353501304664781
-9,2016-05-22,0.04305570813246149
-8,2016-05-23,0.05527786369235996
-7,2016-05-24,0.07096703991005882
-6,2016-05-25,0.09110511944006454
-5,2016-05-26,0.11695102650555148
-4,2016-05-27,0.15011822567369917
-3,2016-05-28,0.19267346633274757
-2,2016-05-29,0.24726231566347742
-1,2016-05-30,0.31726828424851894
0,2016-05-31,0.40701377158961277
1,2016-06-01,0.5220125693558397
2,2016-06-02,0.6692850924284856
3,2016-06-03,0.8577485413711984
4,2016-06-04,1.098694263059318
5,2016-06-05,1.4063627043245475
6,2016-06-06,1.798620996209156
7,2016-06-07,2.2977369910025613
8,2016-06-08,2.931223075135632
9,2016-06-09,3.7326887344129456
10,2016-06-10,4.742587317756678
11,2016-06-11,6.008665017400762
12,2016-06-12,7.585818002124355
13,2016-06-13,9.534946489910949
14,2016-06-14,11.920292202211755
15,2016-06-15,14.804719803168947
16,2016-06-16,18.242552380635637
17,2016-06-17,22.270013882530883
18,2016-06-18,26.89414213699951
19,2016-06-19,32.0821300824607
20,2016-06-20,37.75406687981454
21,2016-06-21,43.78234991142019
22,2016-06-22,50
23,2016-06-23,56.21765008857981
24,2016-06-24,62.24593312018546
25,2016-06-25,67.91786991753929
26,2016-06-26,73.1058578630005
27,2016-06-27,77.72998611746911
28,2016-06-28,81.75744761936437
29,2016-06-29,85.19528019683106
30,2016-06-30,88.07970779778823
31,2016-07-01,90.46505351008905
32,2016-07-02,92.41418199787566
33,2016-07-03,93.99133498259924
34,2016-07-04,95.25741268224334
35,2016-07-05,96.26731126558707
36,2016-07-06,97.06877692486437
37,2016-07-07,97.70226300899743
38,2016-07-08,98.20137900379085
39,2016-07-09,98.59363729567544
40,2016-07-10,98.90130573694069
41,2016-07-11,99.1422514586288
42,2016-07-12,99.33071490757153
43,2016-07-13,99.47798743064416
44,2016-07-14,99.5929862284104
45,2016-07-15,99.68273171575149
46,2016-07-16,99.75273768433654
47,2016-07-17,99.80732653366725
48,2016-07-18,99.84988177432629
49,2016-07-19,99.88304897349445
50,2016-07-20,99.90889488055994
