day,date,pccpue
-10,2016-05-21,0.026119031909571943
-9,2016-05-22,0.03353501304664781
-8,2016-05-23,0.04305570813246149
-7,2016-05-24,0.05527786369235996
-6,2016-05-25,0.07096703991005882
-5,2016-05-26,0.09110511944006454
-4,2016-05-27,0.11695102650555148
-3,2016-05-28,0.15011822567369917
-2,2016-05-29,0.19267346633274757
-1,2016-05-30,0.24726231566347742
0,2016-05-31,0.31726828424851894
1,2016-06-01,0.40701377158961277
2,2016-06-02,0.5220125693558397
3,2016-06-03,0.6692850924284856
4,2016-06-04,0.8577485413711984
5,2016-06-05,1.098694263059318
6,2016-06-06,1.4063627043245475
7,2016-06-07,1.798620996209156
8,2016-06-08,2.2977369910025613
9,2016-06-09,2.931223075135632
10,2016-06-10,3.7326887344129456
11,2016-06-11,4.742587317756678
12,2016-06-12,6.008665017400762
13,2016-06-13,7.585818002124355
14,2016-06-14,9.534946489910949
15,2016-06-15,11.920292202211755
16,2016-06-16,14.804719803168947
17,2016-06-17,18.242552380635637
18,2016-06-18,22.270013882530883
19,2016-06-19,26.89414213699951
20,2016-06-20,32.0821300824607
21,2016-06-21,37.75406687981454
22,2016-06-22,43.78234991142019
23,2016-06-23,50
24,2016-06-24,56.21765008857981
25,2016-06-25,62.24593312018546
26,2016-06-26,67.91786991753929
27,2016-06-27,73.1058578630005
28,2016-06-28,77.72998611746911
29,2016-06-29,81.75744761936437
30,2016-06-30,85.19528019683106
31,2016-07-01,88.07970779778823
32,2016-07-02,90.46505351008905
33,2016-07-03,92.41418199787566
34,2016-07-04,93.99133498259924
35,2016-07-05,95.25741268224334
36,2016-07-06,96.26731126558707
37,2016-07-07,97.06877692486437
38,2016-07-08,97.70226300899743
39,2016-07-09,98.20137900379085
40,2016-07-10,98.59363729567544
41,2016-07-11,98.90130573694069
42,2016-07-12,99.1422514586288
43,2016-07-13,99.33071490757153
44,2016-07-14,99.47798743064416
45,2016-07-15,99.5929862284104
46,2016-07-16,99.68273171575149
47,2016-07-17,99.75273768433654
48,2016-07-18,99.80732653366725
49,2016-07-19,99.84988177432629
50,2016-07-20,99.88304897349445
